,base,quote,symbol_a,symbol_b
175,BAND,USDT,BAND/USDT:USDT,BAND/USDT:USDT
176,ARKM,USDT,ARKM/USDT:USDT,ARKM/USDT:USDT
177,FLOW,USDT,FLOW/USDT:USDT,FLOW/USDT:USDT
178,INJ,USDT,INJ/USDT:USDT,INJ/USDT:USDT
179,LINK,USDT,LINK/USDT:USDT,LINK/USDT:USDT
180,BAL,USDT,BAL/USDT:USDT,BAL/USDT:USDT
181,BIGTIME,USDT,BIGTIME/USDT:USDT,BIGTIME/USDT:USDT
182,WLD,USDT,WLD/USDT:USDT,WLD/USDT:USDT
183,GRIFFAIN,USDT,GRIFFAIN/USDT:USDT,GRIFFAIN/USDT:USDT
184,STX,USDT,STX/USDT:USDT,STX/USDT:USDT
185,MINA,USDT,MINA/USDT:USDT,MINA/USDT:USDT
186,BTC,USDT,BTC/USDT:USDT,BTC/USDT:USDT
187,SONIC,USDT,SONIC/USDT:USDT,SONIC/USDT:USDT
188,PERP,USDT,PERP/USDT:USDT,PERP/USDT:USDT
189,USDC,USDT,USDC/USDT:USDT,USDC/USDT:USDT
190,LSK,USDT,LSK/USDT:USDT,LSK/USDT:USDT
191,W,USDT,W/USDT:USDT,W/USDT:USDT
